Microrregião;2411300;2412100;2421100;2422901;2422902;2423701;2423702;2424501;2424502;2431800;2439300;2441501;2441502;2442300;2443100;2449101;2449102;2449103;2449199;2451200;2452100;2511000;2512800;2513600;2521700;2522500;2531401;2531402;2532201;2532202;2539000;2539001;2539002;2541100;2542000;2543800;2550101;2550102;2591800;2592601;2592602;2593400;2599301;2599302;2599399;2759701;2759799;2811900;2812700;2813500;2814301;2814302;2815101;2815102;2821601;2821602;2822401;2822402;2823200;2824101;2824102;2825900;2829101;2829199;2831300;2832100;2833000;2840200;2851800;2852600;2853400;2854200;2861500;2862300;2863100;2864000;2865800;2866600;2869100;2910701;2910702;2910703;2920401;2920402;2930101;2930102;2930103;2941700;2942500;2943300;2944100;2945000;2949201;2949299;2950600;3011301;3011302;3012100;3031800;3032600;3041500;3042300;3091100;3091101;3091102;3092000;3099700;3311200;3312101;3312102;3312103;3312104;3313901;3313902;3313999;3314701;3314702;3314703;3314704;3314705;3314706;3314707;3314708;3314709;3314710;3314711;3314712;3314713;3314714;3314715;3314716;3314717;3314718;3314719;3314720;3314721;3314722;3314799;3315500;3316301;3316302;3317101;3317102;3319800;3321000;3329501;3329599;4614100;4661300;4662100;4663000;4664800;4665600;4669901;4669999;4672900;7112000;7120100;7731400;7732201;7732202;7733100;7739001;7739002;7739003;7739099
31030;1124;46;9;528;75;4000;1411;1762;370;901;113;224;86;6;7;0;0;0;512;4738;1707;3297;1955;871;192;3;351;24;1448;63;0;1684;379;31;1541;372;17;0;456;1240;820;223;449;54;4005;31;128;6;305;165;105;0;1;247;280;38;561;1480;778;7;2;132;23;3254;3;42;32;341;0;860;8;1759;709;53;1;21;47;19;2092;16151;0;2649;0;0;458;31;342;2206;347;395;1868;993;2402;17931;433;0;0;2;799;7;130;0;0;0;0;4;62;142;0;267;100;18;973;15;297;64;186;31;8;33;26;199;207;72;703;10;13;139;9;210;54;45;121;32;2;0;19;4944;150;201;13;0;6;246;322;244;110;239;367;1443;1732;435;495;204;422;1545;23286;1311;51;3656;852;940;287;268;796;2599
31032;6;0;0;0;0;2317;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;6;0;0;0;0;0;0;0;0;1;0;0;14;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;60;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;47;0;0;60;0;0;0;0;1;0
31034;20;220;0;0;0;0;5662;0;0;0;15;0;0;0;0;0;0;0;3;0;2;440;48;94;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;13;0;0;236;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;33;0;0;0;10;0;0;0;0;0;0;0;0;19;0;0;1;0;69;0;4;0;3;0;0;0;0;15;0;0;94;0;0;0;0;0;0;0;350;0;0;0;0;1;0;0;0;0;0;4;743;4;1;0;0;0;6;0;0;0;0;45;163;6;9;159;0;20;6;5;163;48
31039;0;0;10;7380;2577;0;2;0;443;34;0;0;0;0;0;0;0;0;10;24;433;5158;161;402;0;0;18;0;133;28;0;562;79;80;169;14;0;0;206;82;2;3;22;0;63;0;0;1;30;0;0;0;0;0;0;0;10;1;97;0;0;0;0;4;0;0;0;0;0;0;0;0;57;33;0;0;0;0;528;0;0;0;0;0;86;0;0;0;0;5;0;0;3;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1;0;148;0;0;0;88;71;0;3;177;28;12;11;175;0;0;1;0;0;0;0;18;0;6;146;0;8;0;0;0;0;0;16;18;12;18;3;0;0;33;0;0;0;52;97;316;27;6;211;10;18;0;6;33;226
31043;1791;3;0;259;0;0;845;0;199;78;0;144;3;0;44;0;0;0;17;5045;483;62;130;210;42;0;2;11;223;0;0;93;101;0;214;124;0;0;0;14;374;514;45;0;229;0;12;0;14;14;9;0;0;0;8;0;0;36;34;0;0;0;0;204;0;0;18;19;0;14;0;37;55;0;0;44;0;2;154;0;0;0;0;0;108;0;29;535;0;0;27;2;1;105;29;0;0;0;0;0;0;0;0;0;0;1;82;1;0;0;7;0;7;0;7;0;4;0;1;1;1;20;1;20;7;5;11;3;0;0;5;0;1;6;5;7;0;18;0;0;0;0;0;15;8;14;3;4;6;4;80;6;4;0;83;167;126;13;4;129;11;73;0;0;53;338
31050;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;70;22;2;66;1007;134;0;81;72;0;54;3;0;73;12;30;197;102;0;0;0;3;38;18;4;0;293;0;342;3;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;86;0;0;107;35;0;15;0;0;23;12;0;0;0;0;17;0;0;0;0;0;8;0;0;303;0;0;0;800;1;1525;158;0;0;0;0;0;10;0;0;0;0;0;2;2;0;0;2;0;12;0;13;0;0;0;0;0;0;0;1;2;16;5;3;23;0;0;0;0;4;0;1;0;0;23;0;6;0;0;3;13;28;10;0;4;63;1;5;0;21;0;15;19;130;14;9;59;15;38;4;0;15;8
31052;0;9;0;0;0;34;24;0;75;0;0;0;92;0;0;0;0;0;15;664;60;83;67;58;0;0;0;0;77;0;0;42;0;0;180;5;0;0;264;27;8;59;7;0;328;0;0;0;6;0;0;0;0;6;0;306;0;50;76;0;0;0;0;213;0;0;0;10;0;0;0;40;8;32;0;4;0;0;18;0;0;0;0;0;30;0;1396;6;0;722;0;1110;1395;841;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;11;0;4;0;0;11;0;0;0;3;0;0;29;8;0;4;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;9;7;0;3;1;49;0;81;0;1;0;4;37;157;12;0;70;2;22;0;0;12;6
31056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;4;3;13;20;22;0;0;0;0;25;0;0;95;1;19;63;89;0;918;20;59;21;3;8;1;120;0;16;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;43;34;0;0;1;0;0;0;0;0;0;11;0;0;0;0;15;0;0;0;0;0;0;0;0;16;0;0;77;188;2;4839;0;0;0;0;0;0;702;0;0;1;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;87;0;1;0;0;2;0;0;0;0;0;1;502;1;0;0;0;0;14;15;10;0;3;38;126;0;0;22;0;0;0;0;1;0
32009;197;143;8;4920;0;0;455;0;72;355;0;0;11;0;0;0;0;8;1;95;12;1873;694;239;67;0;39;0;381;0;0;424;13;0;343;41;0;0;0;18;7;117;42;0;742;0;29;0;78;66;0;0;0;0;0;7;49;0;61;1;8;11;0;145;0;0;178;43;15;0;0;0;60;33;0;4;3;0;153;0;0;0;0;0;251;0;81;16;0;0;0;0;42;7;78;8;24;0;0;118;0;0;0;1;0;2;0;33;0;186;50;6;157;2;82;42;96;30;0;71;0;80;54;0;806;0;0;42;124;0;0;18;322;11;1;0;0;316;31;1;18;140;1;112;103;80;7;28;46;317;473;267;74;66;257;778;3099;364;4;1853;80;166;76;8;328;679
33007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;42;16;115;3;0;1;0;2;20;0;0;3;0;0;2743;0;0;0;87;6;7;0;0;0;561;0;0;0;0;0;0;0;0;3;0;0;12;38;0;0;0;0;0;6;0;0;0;1;35;132;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;174;23;0;70;55;0;0;0;0;0;0;0;0;0;0;0;39;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3;3;0;1;5;7;8;12;30;36;13;0;10;3;0;0;0;2;8
33011;0;0;0;11336;0;0;2010;0;11;0;997;0;0;0;0;0;0;0;25;34;57;550;210;151;216;0;0;0;37;0;0;647;0;0;49;0;0;0;1308;22;9;0;270;0;326;0;5;0;0;0;0;0;1;61;1;0;37;3;1;0;0;0;0;99;0;0;33;21;0;0;0;428;6;8;0;0;0;5;14;4163;0;0;794;27;484;22;0;3;0;0;256;449;74;1912;48;0;0;0;0;0;0;0;0;0;0;0;13;10;0;6;6;21;8;1;15;1;107;0;0;0;0;177;48;107;73;0;0;21;0;0;0;3;504;1;0;0;0;13;0;0;0;0;0;55;2415;35;7;2;15;0;123;3;8;5;42;19;589;70;0;253;64;18;0;0;4;249
33013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;7;5;0;0;0;0;0;0;0;3;0;0;24;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7935;82;41;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;9;3;0;0;0;0;0;6;0;0;1;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;21;28;18;9;1;0;0;0;0;0;0;1;0;0;0;1176;0;0;23;0;0;0;0;11;0
